region,region_code,district_code,lga,ward,subvillage
Dodoma,1,1,Mpwapwa,Lumuma,Ikulu
Shinyanga,17,2,Maswa,Budekwa,Manala
Manyara,21,5,Kiteto,Lengatei,Orkarindri
Iringa,11,4,Njombe,Imalinyi,Kidegemanga
Arusha,24,30,Karatu,Barray,Shuleni
Iringa,11,2,Mufindi,Nyololo,K
Kagera,18,30,Ngara,Bugarama,Nyangeleke
Pwani,6,1,Bagamoyo,Zinga/Ikerege,Kwa Kibosha
Ruvuma,10,5,Namtumbo,Rwinga,Mabatini
Arusha,2,2,Arusha Rural,Oltroto,Shuleni
Tabora,14,6,Tabora Urban,Misha,Kagera
Mbeya,12,6,Mbozi,Ndalambo,Nyangu
Manyara,21,4,Simanjiro,Mererani,Songambele Sokoni
Iringa,11,4,Njombe,Ilembula,Maliango
Shinyanga,17,1,Bariadi,Lagangabilili,Mwasahani
Shinyanga,17,8,Kishapu,Ukenyenge,Mwamala
Mbeya,12,1,Chunya,Gua,Gua A
Ruvuma,10,1,Tunduru,Nandembo,Mtoni
Singida,13,2,Singida Rural,Mang'onyi,M/Kati
Arusha,2,2,Arusha Rural,Mlangarini,Lesoit
Kilimanjaro,3,3,Same,Mtii,Mnyonge
Shinyanga,17,5,Bukombe,Runzewe,Bulangwa
Rukwa,15,4,Sumbawanga Urban,Mazwi,Katusa
Kilimanjaro,3,2,Mwanga,Mwaniko,Mwate
Kigoma,16,1,Kibondo,Kakonko,Mseleleko
Dodoma,1,5,Dodoma Urban,Tambuka Reli,Chamwiko
Kigoma,16,1,Kibondo,Kibondo Urban,Shuleni
Mbeya,12,6,Mbozi,Itaka,Igolola
Shinyanga,17,1,Bariadi,Nkoma,Ngorongoro
Mara,20,1,Tarime,Manga,Surubu Kati
Iringa,11,4,Njombe,Mtwango,Lunduka
Rukwa,15,2,Sumbawanga Rural,Matai,Igalula
Kagera,18,4,Biharamulo,Lusahunga,Nyakanazi
Mwanza,19,3,Magu,Magu Urban,Fumagila Masharik
Kilimanjaro,3,3,Same,Kirangare,Konto
Kigoma,16,1,Kibondo,Mabamba,Nyagwirongwe C
Manyara,21,5,Kiteto,Njoro,Ndaleta
Kagera,18,1,Karagwe,Ndama,Omukataba
Morogoro,5,5,Morogoro Urban,Mbuyuni,Kiamila
Tanga,4,2,Korogwe,Magoma,Kwabugi
Rukwa,15,3,Nkasi,Chala,Sekondari
Dodoma,1,4,Chamwino,Ikowa,Muungano
Shinyanga,17,5,Bukombe,Ushirombo,Isadukilo
Iringa,11,4,Njombe,Lupembe,Ujenzi
Tabora,14,4,Urambo,Songambele,Songambele Kati
Kagera,18,1,Karagwe,Kihanga,Mramba
Tanga,4,5,Pangani,Ubangaa,Kibinda
Kilimanjaro,3,3,Same,Vunta,Yombo
Mara,20,2,Serengeti,Kisangura,Saliganda
Kilimanjaro,3,3,Same,Msindo,Mbakweni Chini
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Kusini,Sumikombela
Kigoma,16,1,Kibondo,Rugongowe,Kumnazi
Singida,13,1,Iramba,Mwanga,Marera
Lindi,80,62,Lindi Rural,Mbanja,Nagiriki B
Tanga,4,1,Lushoto,Tamota,Mogwe Tuliani
Mbeya,12,4,Rungwe,Itete,Kibole Kati
Shinyanga,17,1,Bariadi,Nkololo,Mwamanala
Rukwa,15,4,Sumbawanga Urban,Matanga,Ngurumo
Ruvuma,10,2,Songea Rural,Gumbiro,Uramboni
Iringa,11,3,Makete,Lupalilo,Maganga
Mwanza,19,2,Magu,Sukuma,Nyamigumo
Dodoma,1,1,Kondoa,Farkwa,Amani
Kigoma,16,3,Kigoma Rural,Simbo,Mzindakaya
Iringa,11,4,Njombe,Igosi,Kitindiswa
Ruvuma,10,4,Songea Urban,Mletele,Mletele
Tanga,4,7,Kilindi,Kikunde,Chang'Ombe
Mbeya,12,1,Chunya,Makongorosi,Bwawani
Mbeya,12,6,Mbozi,Ruanda,Sanjika
Ruvuma,10,5,Namtumbo,Msindo,Stendi
Kilimanjaro,3,7,Siha,Siha Kati,Makao Mapya
Tabora,14,4,Urambo,Ukumbisiganga,Kangeme Kaskazini
Arusha,2,7,Meru,Nkoaranga,Uzunguni
Shinyanga,17,8,Kishapu,Ngofila,Mwamanota
Rukwa,15,1,Mpanda,Nsimbo,Kanoge
Mwanza,19,2,Magu,Nkungulu,Misungwi
Lindi,80,53,Ruangwa,Ruangwa,Mwenge
Kagera,18,30,Ngara,Ngara Urban,Mkigama
Ruvuma,10,1,Tunduru,Kidodoma,Shuleni
Shinyanga,17,1,Bariadi,Somanda,Misi B
Mbeya,12,3,Kyela,Bujonde,Nnyelele
Tanga,4,6,Handeni,Segera,Kwediwandu
Mtwara,9,5,Mtwara Urban,Jangwani,Dimbuzi
Kilimanjaro,3,4,Moshi Rural,Mamba Kusini,Kitowo
Mbeya,12,2,Mbeya Rural,Utengule Usongwe,Miembeni
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Magharibi,Kopachi
Tabora,14,1,Nzega,Kahamanhalaga,Mlimani
Shinyanga,17,2,Maswa,Busilili,Mlimani A
Mbeya,12,7,Mbarali,Utengule Usangu,Jemedari
Shinyanga,17,1,Meatu,Lingeka,Shishani
Mtwara,99,1,Mtwara Rural,Ndumbwe,Nang'Ambe
Mbeya,12,4,Rungwe,Kisegese,Mbuyu
Kilimanjaro,3,4,Moshi Rural,Mbokomu,Fukeni
Pwani,6,2,Bagamoyo,Chalinze,Gwata
Ruvuma,10,5,Namtumbo,Lusewa,Tulieni B
Rukwa,15,3,Nkasi,Wampelembe,Mpunda
Dodoma,1,5,Dodoma Urban,Mpunguzi,Azimio
Lindi,80,23,Lindi Rural,Nyengedi,Mpandanje
Mbeya,12,6,Mbozi,Igamba,Nzumanzi
Arusha,2,1,Monduli,Lolkisale,Shuleni
Shinyanga,17,1,Bariadi,Sapiwi,Mwantiba A
Iringa,11,4,Njombe,Usuka,Matipu
Kagera,18,30,Ngara,Rusumo,Nyamkwa
Kagera,18,3,Muleba,Magata/Karutanga,Marahala
Mwanza,19,2,Magu,Sukuma,Lumeji
Singida,13,2,Singida Rural,Ihanja,Khanga
Shinyanga,17,5,Bukombe,Ushirombo,Buntubili
Mtwara,9,5,Mtwara Urban,Mtonya,Mtonya A
Pwani,6,1,Bagamoyo,Zinga/Ikerege,Kitonga
Kagera,18,4,Biharamulo,Runazi,Rwanzara
Shinyanga,14,4,Kahama,Ushetu,Katala A
Kigoma,16,2,Kasulu,Kitagata,Kasasa
Arusha,2,2,Arusha Rural,Musa,Olkilorit
Singida,13,3,Manyoni,Sasajila,Mchindi
Mara,20,2,Serengeti,Busawe,Nyambunano
Kigoma,16,3,Kigoma Rural,Ilagala,Katete
Mwanza,19,6,Geita,Nzera,Shuleni
Shinyanga,17,3,Kahama,Kinamapula,Bugang'Ala
Kagera,18,7,Misenyi,Minziro,Kigazi
Ruvuma,10,1,Tunduru,Matemanga,Namiungo
Arusha,2,7,Meru,Maroroni,Tanesco
Mbeya,12,2,Mbeya Rural,Iwindi,Songole
Dodoma,1,1,Kondoa,Pahi,Kinyasi Kati
Kagera,18,2,Bukoba Rural,Buterankuzi,Buongera
Mbeya,12,7,Mbarali,Chimala,Mwaladama
Singida,13,2,Singida Rural,Maghojea,Mapambano
Morogoro,5,1,Kilosa,Magole,Mbuyuni
Tanga,4,3,Muheza,Mtindiro,Maduma A
Tanga,4,4,Tanga,Mabokweni,Ganipeni
Rukwa,15,4,Sumbawanga Urban,Mazwi,Momoka
Kilimanjaro,3,4,Moshi Rural,Mamba Kusini,Madukani
Mtwara,90,33,Masasi,Mnavira,Elimu
Kagera,18,8,Chato,Bwanga,Ulongoni
Iringa,11,4,Njombe,Ikuka,Mpeto B
Singida,13,4,Singida Urban,Unyamikumbi,Masimbida
Mara,20,4,Bunda,Mcharo,Azimio
Ruvuma,10,1,Tunduru,Matemanga,Mrunduka
Shinyanga,17,1,Bariadi,Chinamili,Mwakibuga
Mtwara,90,33,Newala,Mnekachi,Bondeni
Mwanza,19,5,Sengerema,Buzilasoga,Igaka Center
Kilimanjaro,3,3,Same,Same Urban,Majevu D
Tanga,4,6,Handeni,Kiva,Chang'Ombe
Mwanza,19,2,Magu,Mwananyili,Nyang'Anga A
Mara,20,2,Serengeti,Machochwe,Mkono Wa Mara
Ruvuma,10,1,Tunduru,Nandembo,Msikiti A
Kilimanjaro,3,4,Moshi Rural,Kahe,Longoni
Mwanza,19,1,Ukerewe,Murutunguru,Nampisi
Iringa,11,3,Makete,Lupalilo,Wambulilw
Singida,13,1,Iramba,Mbelekese,Isenekwa
Tanga,4,2,Korogwe,Bungu,Kwakaro
Morogoro,5,2,Morogoro Rural,Kisemu,Nige B
Pwani,6,1,Bagamoyo,Magomeni,Magomeni C
Dodoma,1,5,Dodoma Urban,Mtumba,Chang'Ombe
Mbeya,12,4,Rungwe,Kandete,Sokoni
Singida,13,3,Manyoni,Sanza,Azimio
Shinyanga,17,3,Shinyanga Rural,Salawe,Iberebere
Kilimanjaro,3,5,Hai,Masama Mashariki,Ngasini
Singida,13,2,Singida Rural,Ughandi,Uzalishaji
Iringa,11,1,Iringa Rural,Maboga,Kiboma
Kilimanjaro,3,1,Rombo,Shimbi,Mawanda
Mbeya,12,6,Mbozi,Myovizi,Ilonga
Mwanza,19,4,Kwimba,Iseni,Mwakusengwa
Mbeya,12,2,Mbeya Rural,Mshewe,Mbuyuni
Mwanza,19,4,Kwimba,Nyambiti,Isadukilo
Iringa,11,7,Kilolo,Idete,Mkwalumo
Mwanza,19,2,Magu,Kitongo Sima,Lugeye B
Kigoma,16,3,Kigoma Rural,Kalinzi,Mlesi
Mwanza,19,1,Ukerewe,Bwisya,Ebhugwe
Singida,13,1,Iramba,Mtekente,Shuleni
Iringa,11,7,Kilolo,Ukumbi,Mwiruti
Kagera,18,6,Bukoba Urban,Nyanga,Iyoro
Tabora,14,5,Sikonge,Sikonge,Misheni
Mwanza,19,5,Sengerema,Katunguru,Nkungule A
Dodoma,1,6,Bahi,Chikola,Mabwe
Dodoma,1,6,Bahi,Lamaiti,Bomban
Mtwara,90,33,Masasi,Mbuyuni,Likanga Juu
Shinyanga,17,1,Bariadi,Bumera,Ziga
Kagera,18,7,Misenyi,Kassambya,Kabwela
Tanga,4,1,Lushoto,Ngwelo,Lunguza
Mwanza,19,4,Kwimba,Ngudu,Nyambiti
Manyara,21,1,Babati,Bonga,Dugai
Morogoro,5,6,Mvomero,Sungaji,Msufini
Tanga,4,2,Korogwe,Mnyuzi,Kwaboli
Mwanza,19,5,Sengerema,Lugata,Kabaganga A
Manyara,21,1,Babati,Magugu,Warangi A
Tabora,14,4,Urambo,Kaliua,Mandela
Arusha,2,3,Arusha Rural,Kiranyi,School
Tanga,4,6,Handeni,Sindeni,Mbuyuni
Mbeya,12,2,Mbeya Rural,Bonde la Songwe,Lusungo
Mbeya,12,6,Mbozi,Iyula,Idogo
Shinyanga,17,5,Bukombe,Ushirika,Ngemo A
Mbeya,12,2,Mbeya Rural,Utengule Usongwe,Lusungo
Dodoma,1,5,Dodoma Urban,Kikombo,Kawawa
Mtwara,9,4,Tandahimba,Michenjele,Sokoni
Kagera,18,8,Chato,Ilemela,Bupandwamela
Mwanza,19,6,Geita,Kakora,Kitongo
Tanga,4,1,Lushoto,Vuga,Kibagai
Iringa,11,5,Ludewa,Mundindi,Ulembwe
Iringa,11,4,Njombe,Mahongole,Wangama
Tanga,4,1,Lushoto,Ubiri,Shului
Dodoma,1,4,Chamwino,Manchali,Makulu
Mbeya,12,6,Mbozi,Isandula,Kilimampimbi
Arusha,2,7,Meru,Kikatiti,Okononoi
Kagera,18,30,Ngara,Kirushya,Mumakombe
Mwanza,19,4,Kwimba,Mwabomba,Chandima
Tanga,4,4,Tanga,Tongoni,Maere
Kigoma,16,1,Kibondo,Muhange,Kataokwa
Manyara,21,1,Babati,Gidas,Tlawi
Dodoma,1,4,Chamwino,Makang'wa,Maduma
Rukwa,15,3,Nkasi,Namanyere,Foresti
Iringa,11,3,Makete,Matamba,Chamani
Kagera,18,30,Ngara,Rulenge,Munjebwe A
Tabora,14,4,Urambo,Milambo,Barabara 5
Morogoro,5,1,Kilosa,Ruhembe,Mtafuteni B
Tabora,14,1,Nzega,Wela,Igombe
Iringa,11,4,Njombe,Imalinyi,Ibumila
Tanga,4,1,Lushoto,Rangwi,Emao
Tabora,14,2,Igunga,Igunga,Stoo Ya Pamba
Kagera,18,4,Biharamulo,Biharamulo Urban,Katerero
Tabora,14,3,Uyui,Isikizya,Ilandu
Kigoma,16,2,Kasulu,Rungwe Mpya,Mrambo
Mtwara,99,1,Mtwara Rural,Mtiniko,Mtopwa
Kilimanjaro,3,1,Rombo,Ubetu Kahe,Mriai
Tabora,14,4,Urambo,Itundu,Matwiga
Kilimanjaro,3,3,Same,Ndungu,Dimbwi
Manyara,21,1,Babati,Madunga,Marangi
Iringa,11,5,Ludewa,Manda,Shuleni
Mtwara,90,33,Newala,Nanguruwe,Mnanje
Mtwara,9,5,Mtwara Urban,Jangwani,Mtangashari
Dodoma,1,0,Mpwapwa,Matomondo,Kaloleni B
Shinyanga,17,3,Kahama,Kahama Urban,Nyasubi Sango
Mtwara,90,33,Masasi,Lukulendi,Merelani
Iringa,11,1,Iringa Rural,Lumuli,Mjikoni
Tabora,14,4,Urambo,Ukumbisiganga,Mandela
Kagera,18,6,Bukoba Urban,Bukembe,Bulibata
Pwani,6,1,Bagamoyo,Miono,Kipera B
Rukwa,15,1,Mpanda,Katumba,Katumba
Tanga,4,6,Handeni,Kwamsisi,Kwedichinga
Lindi,80,23,Lindi Rural,Nyengedi,Kawawa
Lindi,80,23,Lindi Rural,Chiponda,Limbende
Kagera,18,30,Ngara,Mugoma,Mkakechuru
Tabora,14,4,Urambo,Kashishi,Busondi
Iringa,11,3,Makete,Kipagalo,Ufuvilo
Morogoro,5,2,Morogoro Rural,Selambala,Kwa Nyagongo
Iringa,11,1,Iringa Rural,Malenga Makali,Ihumbiliza B
Mbeya,12,7,Mbarali,Mahongole,Mahelela
Mtwara,90,33,Masasi,Chiugutwa,Sangamkuu
Ruvuma,10,3,Mbinga,Litembo,Mitanga
Manyara,21,5,Kiteto,Sunya,Kichangani
Morogoro,5,1,Kilosa,Rubeho,Cha Mawe
Morogoro,5,1,Kilosa,Magubike,Dukani
Mara,20,3,Musoma Rural,Bwasi,Butabale
Arusha,2,7,Meru,Songoro,Kyuta
Singida,13,2,Singida Rural,Dung'unyi,Nkkungi
Lindi,80,53,Ruangwa,Nambilanje,Chikwati
Kigoma,16,2,Kasulu,Buhoro,Rubona
Manyara,21,5,Kiteto,Lengatei,Lesoiti Kati
Kigoma,16,3,Kigoma Rural,Kagongo,Mlati
Rukwa,15,3,Nkasi,Namanyere,Pentekoste
Mbeya,12,2,Mbeya Rural,Tembela,Majengo A
Morogoro,5,6,Mvomero,Melela,Mlinge
Lindi,80,13,Kilwa,Chumo,Milai
Morogoro,5,6,Mvomero,Kibati,Ng'Ai
Shinyanga,17,1,Bariadi,Somanda,Mwakimatu
Singida,13,1,Iramba,Ibaga,Tyanundi
Mwanza,19,4,Kwimba,Sumve,Mabatini
Tanga,4,1,Lushoto,Sunga,Mahokoi
Morogoro,5,1,Kilosa,Dumila,Ndagani
Ruvuma,10,3,Mbinga,Mbamba bay,Pilimba 'A'
Kigoma,16,1,Kibondo,Nyamtukuza,Mwembeni
Iringa,11,1,Iringa Rural,Magulilwa,Luhota Secondary
Iringa,11,4,Njombe,Igosi,Makera
Shinyanga,17,5,Bukombe,Ilolangulu,Msenga
Tanga,4,2,Korogwe,Korogwe,Manzese
Rukwa,15,2,Sumbawanga Rural,Mwazye,Sengerema
Manyara,21,4,Simanjiro,Ruvu Remit,Gunge Darajani
Singida,13,4,Singida Urban,Mandewa,Msimihi
Rukwa,15,3,Nkasi,Kirando,Upenzi
Tanga,4,2,Korogwe,Bungu,Mlungui
Shinyanga,17,1,Bariadi,Dutwa,Isenge A
Tanga,4,3,Muheza,Tingeni,Tingeni
Rukwa,15,4,Sumbawanga Urban,Pito,Miputu
Mbeya,12,4,Rungwe,Lutebe,Mwakaleli
Iringa,11,3,Makete,Ukwama,Makovo
Iringa,11,3,Makete,Bulongwa,Lupaso
Tanga,4,2,Korogwe,Ngombezi,Michungwani
Dodoma,1,0,Mpwapwa,Matomondo,Msunjilile
Mbeya,12,7,Mbarali,Igurusi,Kibaoni
Mtwara,90,33,Masasi,Chiugutwa,Kilimanihewa
Morogoro,5,1,Kilosa,Kisanga,Msange
Lindi,8,3,Nachingwea,Mkotokuyana,Bondeni
Singida,13,2,Singida Rural,Ikhawoda,Mbiru
Ruvuma,10,3,Mbinga,Kihagara,Mungano
Iringa,11,4,Njombe,Mahongole,Mvengi B
Mwanza,19,2,Magu,Kisesa,Ihala
Kagera,18,2,Bukoba Rural,Maruku,Kyansozi
Morogoro,5,3,Kilombero,Mlimba,Mpangala
Kilimanjaro,3,1,Rombo,Keni  Alleni,Kiseeni
Arusha,2,7,Meru,Kikwe,Daire
Kilimanjaro,3,3,Same,Chome,Heisume
Shinyanga,17,5,Bukombe,Masumbwe,Nyakafuru C
Kilimanjaro,3,1,Rombo,Ubetu Kahe,Neosi
Dodoma,1,5,Dodoma Urban,Kikombo,Mapinduzi
Shinyanga,17,6,Meatu,Kisesa,Serengeti
Mtwara,9,4,Tandahimba,Mnyawa,Kisutu
Mwanza,19,5,Sengerema,Nyakasungwa,Kamanga A
Morogoro,5,4,Ulanga,Malinyi,Mbialu
Mwanza,19,2,Magu,Nyaluhande,Mwanoni
Shinyanga,17,5,Bukombe,Bukombe,Ibambangulu
Lindi,80,62,Lindi Rural,Chikonji,Mnala Mbudi
Tanga,4,1,Lushoto,Mamba,Magunga
Shinyanga,17,8,Kishapu,Kishapu,Mwaseri B
Morogoro,5,1,Kilosa,Zombo,Mgagavuni
Kilimanjaro,3,5,Hai,Masama Mashariki,Miaseni
Shinyanga,17,6,Meatu,Mwamalole,Mwamalole
Arusha,2,1,Monduli,Makuyuni,Ormang'Wai
Kagera,18,1,Karagwe,Isingiro,Nyamiaga
Tabora,14,1,Nzega,Lusu,Isagenhe
Manyara,21,5,Kiteto,Partimbo,Norukunjui
Arusha,2,2,Arusha Rural,Murieti,Ngweamu
Pwani,60,33,Kisarawe,Marumbo,Maleta
Shinyanga,17,3,Kahama,Lunguya,Lunguya Center
Mbeya,12,2,Mbeya Rural,Utengule Usongwe,Igowombe
Dodoma,1,5,Dodoma Urban,Msalato,Chisewo
Shinyanga,17,7,Shinyanga Urban,Mwawaza,Ngabulili
Dodoma,1,4,Chamwino,Dabalo,Mwinyi
Singida,13,1,Iramba,Mpambala,Chemchem
Kilimanjaro,3,4,Moshi Rural,Mamba Kusini,Komkendi
Mwanza,19,6,Geita,Mtakuja,Manga
Kagera,18,4,Biharamulo,Lusahunga,Kalamata
Kagera,18,7,Misenyi,Kassambya,Mabuye
Mwanza,19,2,Magu,Nkungulu,Nyabole
Mbeya,12,4,Rungwe,Lufingo,Bujela
Shinyanga,14,4,Kahama,Ushetu,Misoke
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Kusini,Kilindini
Tabora,14,1,Nzega,Miguwa,Miguwa
Iringa,11,1,Iringa Rural,Mseke,Kimwanyula
Mtwara,90,33,Masasi,Chiugutwa,Shuleni
Shinyanga,17,1,Bariadi,Mhunze,Kong'Okong'O
Mtwara,9,4,Tandahimba,Mdimba Mnyoma,Mingiyo
Iringa,11,4,Njombe,Mtwango,Ihami
Shinyanga,17,1,Bariadi,Bunamhala,Lyalu
Tanga,4,2,Korogwe,Mkalamo,Msufinni
Mtwara,90,33,Masasi,Namajani,Chikoweti
Mara,20,2,Serengeti,Kenyamonta,Nyabuchegeche
Morogoro,5,4,Ulanga,Sali,Mzunguko
Kagera,18,30,Ngara,Ntobeye,Shaka
Iringa,11,4,Njombe,Igongolo,Romani
Mwanza,19,6,Geita,Kaseme,Imalambegete
Kagera,18,3,Muleba,Ruhanga,Kibumba
Shinyanga,17,6,Meatu,Bukundi,Kisesa
Ruvuma,10,5,Namtumbo,Namabengo,Kikwajuni
Arusha,2,1,Monduli,Engutoto,Lengine
Shinyanga,17,1,Bariadi,Ikungulyabashashi,Ngwamang'Adi
Mwanza,19,4,Kwimba,Nyambiti,Lugulu
Tanga,4,3,Muheza,Kicheba,Zizini
Kigoma,16,1,Kibondo,Kakonko,Ibuga C
Mwanza,19,4,Kwimba,Lyoma,Wmabayanda
Shinyanga,17,5,Bukombe,Mbogwe,Iboya
Ruvuma,10,3,Mbinga,Lituhi,Kihulu Cha Kwanza
Rukwa,15,3,Nkasi,Sintali,Kalemasha
Arusha,2,1,Monduli,Engutoto,Orkaria
Kagera,18,30,Ngara,Mabawe,Muyange
Kagera,18,2,Bukoba Rural,Kaagya,Mziru
Shinyanga,17,2,Maswa,Badi,Kakola
Tanga,4,3,Muheza,Mtindiro,Mtindiro Centre
Kigoma,16,3,Kigoma Rural,Simbo,Simboa
Rukwa,15,1,Mpanda,Ikola,Kafisha Kati
Dodoma,1,6,Bahi,Ibugule,Mphemb
Shinyanga,17,3,Kahama,Busangi,Nzagala
Mbeya,12,3,Kyela,Matema,Ilambo
Mwanza,19,2,Magu,Nyanguge,Matela B
Manyara,21,3,Mbulu,Bashay,Dirim Magharibi
Shinyanga,17,8,Kishapu,Uchunga,Kashishi
Rukwa,15,3,Nkasi,Mtenga,Chambamasaka
Singida,13,2,Singida Rural,Msisi,Kambi Ya Fis
Kagera,18,6,Bukoba Urban,Kitendaguru,Kigazi
Iringa,11,3,Makete,Mang'oto,Usungilo
Shinyanga,17,3,Kahama,Chambo,Itumbili C
Shinyanga,17,6,Meatu,Kisesa,Malwilo
Shinyanga,17,8,Kishapu,Kiloleli,Migunga
Shinyanga,17,2,Maswa,Mpindo,Mbugamita
Shinyanga,17,6,Meatu,Mwabusalu,Mwabusalu
Mbeya,12,6,Mbozi,Igamba,Ibula
Pwani,6,1,Bagamoyo,Lugoba,Mikoroshini
Mtwara,9,5,Mtwara Urban,Railway,Reli B
Rukwa,15,3,Nkasi,Isale,Kasula
Kilimanjaro,3,5,Hai,Masama Magharibi,Tamaya
Mbeya,12,6,Mbozi,Mlowo,Igawanya
Mbeya,12,1,Chunya,Mbangala,Chudeko
Mbeya,12,6,Mbozi,Mlangali,Dogo
Kagera,18,2,Bukoba Rural,Ruhunga,Ruhunga
Mbeya,12,4,Rungwe,Suma,Kilalo
Ruvuma,10,5,Namtumbo,Msindo,Madaba
Kagera,18,1,Karagwe,Isingiro,Kigaga
Mwanza,19,1,Ukerewe,Igalla,Mlimani
Kagera,18,2,Bukoba Rural,Kanyangereko,Butahyaibega
Kigoma,16,3,Kigoma Rural,Ilagala,Kabeba
Manyara,21,1,Babati,Dareda,Gidim
Dar es Salaam,7,3,Temeke,Kisarawe II,Lingato
Tabora,14,3,Uyui,Ufuluma,Ugowola A
Mtwara,9,4,Tandahimba,Lukokoda,Tandika
Mwanza,19,1,Ukerewe,Namilembe,Kilombero
Mtwara,99,1,Mtwara Rural,Ndumbwe,Mnyundo Shuleni
Kigoma,16,1,Kibondo,Kakonko,Kihogazi
Tabora,14,3,Uyui,Magiri,Mkola
Mbeya,12,6,Mbozi,Isansa,Sambewe Kati
Iringa,11,1,Iringa Rural,Ulanda,Mwika
Lindi,80,53,Ruangwa,Chienjere,Mkata
Kigoma,16,1,Kibondo,Mabamba,Nyange A
Kagera,18,8,Chato,Kigongo,Masasi
Morogoro,5,1,Kilosa,Ruhembe,Igogolo
Shinyanga,17,2,Maswa,Shishiyu,Mwandu
Manyara,21,2,Hanang,Balangidalalu,Lagaujanda
Tanga,4,3,Muheza,Pande,Kibaoni
Tabora,14,5,Sikonge,Kitunda,Migembe
Kagera,18,7,Misenyi,Kassambya,Kagarama
Ruvuma,10,4,Songea Rural,Tanga,Mlete
Lindi,80,23,Lindi Rural,Chiponda,Halanje
Mbeya,12,6,Mbozi,Isandula,Ukwire
Kagera,18,30,Ngara,Mugoma,Mubilamvu
Pwani,6,1,Bagamoyo,Lugoba,Chalinze Mzee A
Iringa,11,4,Njombe,Luduga,Tononeka
Arusha,24,30,Karatu,Qurus,Kiwandani
Arusha,2,2,Arusha Rural,Mateves,Lemgulu
Iringa,11,4,Njombe,Usuka,Swelu
Kilimanjaro,3,7,Siha,Siha Kaskazini,Kashofu
Morogoro,5,1,Kilosa,Chakwale,Kinangali
Lindi,80,53,Ruangwa,Nkowe,Naminga
Shinyanga,17,3,Kahama,Mpunze,Iponyaholo Center
Manyara,21,5,Kiteto,Songambele,Chapakazi
Mbeya,12,6,Mbozi,Ndalambo,Chilovya
Singida,13,4,Singida Urban,Mandewa,Unyinga
Shinyanga,17,3,Shinyanga Rural,Usanda,Matanda
Kagera,18,1,Karagwe,Ihembe,Kibogoizi
Mara,20,4,Bunda,Kisorya,Kasomba
Kagera,18,7,Misenyi,Kilimilire,Mwenge
Pwani,6,4,Mkuranga,Mbezi,Mwanzega
Manyara,21,1,Babati,Qash,Majengo B
Arusha,2,3,Arusha Rural,Moshono,Karimaji
Morogoro,5,3,Kilombero,Mlimba,School
Morogoro,5,2,Morogoro Rural,Ngerengere,Njia Nne
Shinyanga,17,2,Maswa,Buchambi,Buyubi
Shinyanga,17,3,Kahama,Chela,Igobole
Kigoma,16,3,Kigoma Rural,Matendo,Nyakusala
Kilimanjaro,3,7,Siha,Siha Kaskazini,Nkyare
Pwani,60,43,Mkuranga,Kimanzichana,Kilima Mkongo
Mara,20,3,Musoma Rural,Tegeruka,Nyaminya
Mtwara,90,33,Newala,Mchemo,Kilimahewa
Rukwa,15,3,Nkasi,Kipande,Lyakupola
Mbeya,12,4,Rungwe,Lutebe,Lusoko
Kilimanjaro,3,1,Rombo,Ubetu Kahe,Mabie
Shinyanga,17,3,Kahama,Bugarama,Igwamanoni Kati
Ruvuma,10,2,Songea Rural,Matimira,Nanyimbo A
Manyara,21,1,Babati,Mamire,Majengo
Shinyanga,17,5,Bukombe,Ushirombo,Nhomolwa C
Mara,20,4,Bunda,Igundu,Kukagerege
Mtwara,90,33,Masasi,Mkundi,Abene
Shinyanga,17,1,Bariadi,Nkoma,Lugunano B
Shinyanga,17,1,Bariadi,Lagangabilili,Langula
Tabora,14,3,Uyui,Ilolangulu,Mbola A
Morogoro,5,2,Morogoro Rural,Lundi,Kihuluka
Kigoma,16,1,Kibondo,Gwanumpu,Nakisenga B
Ruvuma,10,2,Songea Rural,Matimira,Katete
Tanga,4,7,Kilindi,Kwediboma,Misheni
Mtwara,99,1,Mtwara Rural,Ziwani,Mayomanilo
Morogoro,5,6,Mvomero,Doma,Gole
Tanga,4,2,Korogwe,Kwamndolwa,Lwengera Darajan
Iringa,11,1,Iringa Rural,Nduli,Ubena
Pwani,6,1,Bagamoyo,Zinga/Ikerege,Kiamboni
Mara,20,6,Rorya,Nyahongo,Luanda
Mwanza,19,2,Magu,Mkula,Burora B
Kagera,18,2,Bukoba Rural,Maruku,Kakondo
Mwanza,19,2,Magu,Kisesa,Kisesa A
Morogoro,5,2,Morogoro Rural,Kinole,Doga
Mara,20,6,Rorya,Mkoma,Minya
Shinyanga,17,5,Bukombe,Ushirika,Isenegeja
Singida,13,2,Singida Rural,Mtinko,Majengo Mapy
Mbeya,12,3,Kyela,Ikolo,Kiranga
Ruvuma,10,2,Songea Rural,Kilagano,Kaza Roho
Tanga,4,3,Muheza,Songa,Handeni
Shinyanga,17,1,Bariadi,Somanda,Yesa Mayala
Shinyanga,17,3,Kahama,Nyandekwa,Mission
Manyara,21,5,Kiteto,Bwagamoyo,Bwagamoyo Chini
Kigoma,16,2,Kasulu,Munyegera,Kaguruka
Morogoro,5,1,Kilosa,Chanzuru,Parakuyo
